Time,Y,Yd,Ydd
2.39316,4660.21,-5055.92,0
2.39901,4630.63,-5055.92,0
2.40486,4601.04,-5055.92,0
2.41071,4571.46,-5055.92,0
2.41657,4541.88,-5055.92,0
2.42242,4512.29,-5055.92,0
2.42827,4482.71,-5055.92,0
2.43412,4453.13,-5055.92,0
2.43997,4423.54,-5055.92,0
2.44582,4393.96,-5055.92,0
2.45167,4364.38,-5055.92,0
2.45752,4334.79,-5055.92,0
2.46338,4305.21,-5055.92,0
2.46923,4275.63,-5055.92,0
2.47508,4246.04,-5055.92,0
2.48093,4216.46,-5055.92,0
2.48678,4186.87,-5055.92,0
2.49263,4157.29,-5055.92,0
2.49848,4127.71,-5055.92,0
2.50433,4098.12,-5055.92,0
2.51019,4068.54,-5055.92,0
2.51604,4038.96,-5055.92,0
2.52189,4009.37,-5055.92,0
2.52774,3979.79,-5055.92,0
2.53359,3950.21,-5055.92,0
2.53944,3920.62,-5055.92,0
2.54529,3891.04,-5055.92,0
2.55115,3861.46,-5055.92,0
2.557,3831.87,-5055.92,0
2.56285,3802.29,-5055.92,0
2.5687,3772.71,-5055.92,0
2.57455,3743.12,-5055.92,0
2.5804,3713.54,-5055.92,0
2.58625,3683.95,-5055.92,0
2.5921,3654.37,-5055.92,0
2.59796,3624.79,-5055.92,0
2.60381,3595.2,-5055.92,0
2.60966,3565.62,-5055.92,0
2.61551,3536.04,-5055.92,0
2.62136,3506.45,-5055.92,0
2.62721,3476.87,-5055.92,0
2.63306,3447.29,-5055.92,0
2.63891,3417.7,-5055.92,0
2.64477,3388.12,-5055.92,0
2.65062,3358.54,-5055.92,0
2.65647,3328.95,-5055.92,0
2.66232,3299.37,-5055.92,0
2.66817,3269.78,-5055.92,0
2.67402,3240.2,-5055.92,0
2.67987,3210.62,-5055.92,0
2.68572,3181.03,-5055.92,0
2.69158,3151.45,-5055.92,0
2.69743,3121.87,-5055.92,0
2.70328,3092.28,-5055.92,0
2.70913,3062.7,-5055.92,0
2.71498,3033.12,-5055.92,0
2.72083,3003.53,-5055.92,0
2.72668,2973.95,-5055.92,0
2.73253,2944.37,-5055.92,0
2.73839,2914.78,-5055.92,0
2.74424,2885.2,-5055.92,0
2.75009,2855.61,-5055.92,0
2.75594,2826.03,-5055.92,0
2.76179,2796.45,-5055.92,0
2.76764,2766.86,-5055.92,0
2.77349,2737.28,-5055.92,0
2.77934,2707.7,-5055.92,0
2.7852,2678.11,-5055.92,0
2.79105,2648.53,-5055.92,0
2.7969,2618.95,-5055.92,0
2.80275,2589.36,-5055.92,0
2.8086,2559.78,-5055.92,0
2.81445,2530.2,-5055.92,0
2.8203,2500.61,-5055.92,0
2.82615,2471.03,-5055.92,0
2.83201,2441.45,-5055.92,0
2.83786,2411.86,-5055.92,0
2.84371,2382.28,-5055.92,0
2.84956,2352.69,-5055.92,0
2.85541,2323.11,-5055.92,0
2.86126,2293.53,-5055.92,0
2.86711,2263.94,-5055.92,0
2.87296,2234.36,-5055.92,0
2.87882,2204.78,-5055.92,0
2.88467,2175.19,-5055.92,0
2.89052,2145.61,-5055.92,0
2.89637,2116.03,-5055.92,0
2.90222,2086.44,-5055.92,0
2.90807,2056.86,-5055.92,0
2.91392,2027.28,-5055.92,0
2.91978,1997.69,-5055.92,0
2.92563,1968.11,-5055.92,0
2.93759,1907.87,-5011.51,3711.41
2.94956,1848.17,-4967.1,3711.41
2.96153,1789,-4922.68,3711.41
2.97349,1730.36,-4878.27,3711.41
2.98546,1672.25,-4833.86,3711.41
2.99742,1614.67,-4789.45,3711.41
3.00939,1557.62,-4745.03,3711.41
3.02136,1501.11,-4700.62,3711.41
3.03332,1445.12,-4656.21,3711.41
3.04529,1389.67,-4611.8,3711.41
3.05726,1334.75,-4567.38,3711.41
3.06922,1280.36,-4522.97,3711.41
3.08119,1226.5,-4478.56,3711.41
3.09316,1173.17,-4434.15,3711.41
3.10512,1120.38,-4389.74,3711.41
3.11709,1068.11,-4345.32,3711.41
3.12906,1016.38,-4300.91,3711.41
3.14102,965.182,-4256.5,3711.41
3.15299,914.512,-4212.09,3711.41
3.16495,864.375,-4167.67,3711.41
3.17692,814.768,-4123.26,3711.41
3.18889,765.693,-4078.85,3711.41
3.20085,717.15,-4034.44,3711.41
3.21282,669.138,-3990.02,3711.41
3.22479,621.657,-3945.61,3711.41
3.23675,574.708,-3901.2,3711.41
3.24872,528.291,-3856.79,3711.41
3.26069,482.404,-3812.38,3711.41
3.27265,437.05,-3767.96,3711.41
3.28462,392.226,-3723.55,3711.41
3.29659,347.935,-3679.14,3711.41
3.30855,304.174,-3634.73,3711.41
3.32052,260.945,-3590.31,3711.41
3.33248,218.248,-3545.9,3711.41
3.34445,176.082,-3501.49,3711.41
